"bianma","riqi","xiaoliang"
1301,"20150904",1
1301,"20150905",1
1301,"20150906",1
1301,"20150907",1
1301,"20150908",1
1301,"20150909",1
1301,"20150911",1
1301,"20150912",1
1301,"20150913",1
1301,"20150914",1
1301,"20150915",1
1301,"20150916",1
1301,"20150917",1
1301,"20150918",1
1301,"20150919",1
1301,"20150920",1
1301,"20150921",1
1301,"20150922",1
1301,"20150923",1
1301,"20150924",1
1301,"20150925",1
1301,"20150926",1
1301,"20150927",1
1301,"20150928",1
1301,"20150929",1
1301,"20150930",1
1301,"20151001",1
1301,"20151002",1
1301,"20151003",1
1301,"20151004",1
1301,"20151005",1
1301,"20151006",1
1301,"20151007",1
1301,"20151008",1
1301,"20151009",1
1301,"20151010",1
1301,"20151011",1
1301,"20151012",1
1301,"20151013",1
1301,"20151014",1
1301,"20151015",1
1301,"20151016",1
1301,"20151017",1
1301,"20151018",1
1301,"20151019",1
1301,"20151020",1
1301,"20151021",1
1301,"20151022",1
1301,"20151023",1
1301,"20151024",1
1301,"20151025",1
1301,"20151026",1
1301,"20151027",1
1301,"20151028",1
1301,"20151029",1
1302,"20150901",1
1302,"20150902",0
1302,"20150903",1
1302,"20150904",1
1302,"20150905",0
1302,"20150906",1
1302,"20150907",1
1302,"20150908",0
1302,"20150909",1
1302,"20150911",0
1302,"20150912",1
1302,"20150913",0
1302,"20150914",1
1302,"20150915",1
1302,"20150916",0
1302,"20150917",1
1302,"20150918",1
1302,"20150919",0
1302,"20150920",1
1302,"20150921",1
1302,"20150922",0
1302,"20150923",1
1302,"20150924",0
1302,"20150925",0
1302,"20150926",1
1302,"20150927",0
1302,"20150928",1
1302,"20150929",1
1302,"20150930",0
1302,"20151001",1
1302,"20151002",1
1302,"20151003",0
1302,"20151004",1
1302,"20151005",1
1302,"20151006",0
1302,"20151007",1
1302,"20151008",0
1302,"20151009",0
1302,"20151010",1
1302,"20151011",0
1302,"20151012",1
1302,"20151013",1
1302,"20151014",0
1302,"20151015",1
1302,"20151016",1
1302,"20151017",0
1302,"20151018",1
1302,"20151019",1
1302,"20151020",0
1302,"20151021",1
1302,"20151022",0
1302,"20151023",0
1302,"20151024",1
1302,"20151025",0
1302,"20151026",1
1302,"20151027",1
1302,"20151028",0
1302,"20151029",1
1308,"20150901",1
1308,"20150902",1
1308,"20150903",1
1308,"20150904",1
1308,"20150905",1
1308,"20150906",1
1308,"20150907",1
1308,"20150908",1
1308,"20150909",1
1308,"20150911",1
1308,"20150912",1
1308,"20150913",1
1308,"20150914",1
1308,"20150915",1
1308,"20150916",1
1308,"20150917",1
1308,"20150918",1
1308,"20150919",1
1308,"20150920",1
1308,"20150921",1
1308,"20150922",1
1308,"20150923",1
1308,"20150924",1
1308,"20150925",1
1308,"20150926",1
1308,"20150927",1
1308,"20150928",1
1308,"20150929",1
1308,"20150930",1
1308,"20151001",1
1308,"20151002",1
1308,"20151003",1
1308,"20151004",1
1308,"20151005",1
1308,"20151006",1
1308,"20151007",1
1308,"20151008",1
1308,"20151009",1
1308,"20151010",1
1308,"20151011",1
1308,"20151012",1
1308,"20151013",1
1308,"20151014",1
1308,"20151015",1
1308,"20151016",1
1308,"20151017",1
1308,"20151018",1
1308,"20151019",1
1308,"20151020",1
1308,"20151021",1
1308,"20151022",1
1308,"20151023",1
1308,"20151024",1
1308,"20151025",1
1308,"20151026",1
1308,"20151027",1
1308,"20151028",1
1308,"20151029",1
1501,"20150901",1
1501,"20150902",1
1501,"20150903",1
1501,"20150904",1
1501,"20150905",1
1501,"20150906",1
1501,"20150907",1
1501,"20150908",1
1501,"20150909",1
1501,"20150911",1
1501,"20150912",1
1501,"20150913",1
1501,"20150914",1
1501,"20150915",1
1501,"20150916",1
1501,"20150917",1
1501,"20150918",1
1501,"20150919",1
1501,"20150920",1
1501,"20150921",1
1501,"20150922",1
1501,"20150923",1
1501,"20150924",1
1501,"20150925",1
1501,"20150926",1
1501,"20150927",1
1501,"20150928",1
1501,"20150929",1
1501,"20150930",1
1501,"20151001",1
1501,"20151002",1
1501,"20151003",1
1501,"20151004",1
1501,"20151005",1
1501,"20151006",1
1501,"20151007",1
1501,"20151008",1
1501,"20151009",1
1501,"20151010",1
1501,"20151011",1
1501,"20151012",1
1501,"20151013",1
1501,"20151014",1
1501,"20151015",1
1501,"20151016",1
1501,"20151017",1
1501,"20151018",1
1501,"20151019",1
1501,"20151020",1
1501,"20151021",1
1501,"20151022",1
1501,"20151023",1
1501,"20151024",1
1501,"20151025",1
1501,"20151026",1
1501,"20151027",1
1501,"20151028",1
1501,"20151029",1
1503,"20150901",0
1503,"20150902",0
1503,"20150903",0
1503,"20150904",0
1503,"20150905",0
1503,"20150906",0
1503,"20150907",0
1503,"20150908",0
1503,"20150909",0
1503,"20150911",0
1503,"20150912",0
1503,"20150913",0
1503,"20150914",0
1503,"20150915",0
1503,"20150916",0
1503,"20150917",0
1503,"20150918",0
1503,"20150919",0
1503,"20150920",0
1503,"20150921",0
1503,"20150922",0
1503,"20150923",0
1503,"20150924",0
1503,"20150925",0
1503,"20150926",0
1503,"20150927",0
1503,"20150928",0
1503,"20150929",0
1503,"20150930",0
1503,"20151001",0
1503,"20151002",0
1503,"20151003",0
1503,"20151004",0
1503,"20151005",0
1503,"20151006",0
1503,"20151007",0
1503,"20151008",0
1503,"20151009",0
1503,"20151010",0
1503,"20151011",0
1503,"20151012",0
1503,"20151013",0
1503,"20151014",0
1503,"20151015",0
1503,"20151016",0
1503,"20151017",0
1503,"20151018",0
1503,"20151019",0
1503,"20151020",0
1503,"20151021",0
1503,"20151022",0
1503,"20151023",0
1503,"20151024",0
1503,"20151025",0
1503,"20151026",0
1503,"20151027",0
1503,"20151028",0
1503,"20151029",0
1504,"20150901",0
1504,"20150902",0
1504,"20150903",0
1504,"20150904",0
1504,"20150905",0
1504,"20150906",0
1504,"20150907",0
1504,"20150908",0
1504,"20150909",0
1504,"20150911",0
1504,"20150912",0
1504,"20150913",0
1504,"20150914",0
1504,"20150915",0
1504,"20150916",0
1504,"20150917",0
1504,"20150918",0
1504,"20150919",0
1504,"20150920",0
1504,"20150921",0
1504,"20150922",0
1504,"20150923",0
1504,"20150924",0
1504,"20150925",0
1504,"20150926",0
1504,"20150927",0
1504,"20150928",0
1504,"20150929",0
1504,"20150930",0
1504,"20151001",0
1504,"20151002",0
1504,"20151003",0
1504,"20151004",0
1504,"20151005",0
1504,"20151006",0
1504,"20151007",0
1504,"20151008",0
1504,"20151009",0
1504,"20151010",0
1504,"20151011",0
1504,"20151012",0
1504,"20151013",0
1504,"20151014",0
1504,"20151015",0
1504,"20151016",0
1504,"20151017",0
1504,"20151018",0
1504,"20151019",0
1504,"20151020",0
1504,"20151021",0
1504,"20151022",0
1504,"20151023",0
1504,"20151024",0
1504,"20151025",0
1504,"20151026",0
1504,"20151027",0
1504,"20151028",0
1504,"20151029",0
1505,"20150901",1
1505,"20150902",1
1505,"20150903",1
1505,"20150904",1
1505,"20150905",1
1505,"20150906",1
1505,"20150907",1
1505,"20150908",1
1505,"20150909",1
1505,"20150911",1
1505,"20150912",1
1505,"20150913",1
1505,"20150914",1
1505,"20150915",1
1505,"20150916",1
1505,"20150917",1
1505,"20150918",1
1505,"20150919",1
1505,"20150920",1
1505,"20150921",1
1505,"20150922",1
1505,"20150923",1
1505,"20150924",1
1505,"20150925",1
1505,"20150926",1
1505,"20150927",1
1505,"20150928",1
1505,"20150929",1
1505,"20150930",1
1505,"20151001",1
1505,"20151002",1
1505,"20151003",1
1505,"20151004",1
1505,"20151005",1
1505,"20151006",1
1505,"20151007",1
1505,"20151008",1
1505,"20151009",1
1505,"20151010",1
1505,"20151011",1
1505,"20151012",1
1505,"20151013",1
1505,"20151014",1
1505,"20151015",1
1505,"20151016",1
1505,"20151017",1
1505,"20151018",1
1505,"20151019",1
1505,"20151020",1
1505,"20151021",1
1505,"20151022",1
1505,"20151023",1
1505,"20151024",1
1505,"20151025",1
1505,"20151026",1
1505,"20151027",1
1505,"20151028",1
1505,"20151029",1
1508,"20150901",0
1508,"20150902",0
1508,"20150903",0
1508,"20150904",0
1508,"20150905",1
1508,"20150906",0
1508,"20150907",0
1508,"20150908",0
1508,"20150909",0
1508,"20150911",0
1508,"20150912",1
1508,"20150913",0
1508,"20150914",0
1508,"20150915",0
1508,"20150916",0
1508,"20150917",1
1508,"20150918",0
1508,"20150919",0
1508,"20150920",0
1508,"20150921",0
1508,"20150922",0
1508,"20150923",0
1508,"20150924",1
1508,"20150925",0
1508,"20150926",0
1508,"20150927",0
1508,"20150928",0
1508,"20150929",1
1508,"20150930",0
1508,"20151001",0
1508,"20151002",0
1508,"20151003",0
1508,"20151004",0
1508,"20151005",0
1508,"20151006",1
1508,"20151007",0
1508,"20151008",0
1508,"20151009",0
1508,"20151010",0
1508,"20151011",1
1508,"20151012",0
1508,"20151013",0
1508,"20151014",0
1508,"20151015",0
1508,"20151016",0
1508,"20151017",0
1508,"20151018",1
1508,"20151019",0
1508,"20151020",0
1508,"20151021",0
1508,"20151022",0
1508,"20151023",1
1508,"20151024",0
1508,"20151025",0
1508,"20151026",0
1508,"20151027",0
1508,"20151028",0
1508,"20151029",0
1510,"20150901",1
1510,"20150902",1
1510,"20150903",0
1510,"20150904",1
1510,"20150905",1
1510,"20150906",1
1510,"20150907",1
1510,"20150908",0
1510,"20150909",1
1510,"20150911",1
1510,"20150912",1
1510,"20150913",0
1510,"20150914",1
1510,"20150915",1
1510,"20150916",1
1510,"20150917",1
1510,"20150918",0
1510,"20150919",1
1510,"20150920",1
1510,"20150921",1
1510,"20150922",1
1510,"20150923",0
1510,"20150924",1
1510,"20150925",1
1510,"20150926",1
1510,"20150927",1
1510,"20150928",0
1510,"20150929",1
1510,"20150930",1
1510,"20151001",1
1510,"20151002",1
1510,"20151003",0
1510,"20151004",1
1510,"20151005",1
1510,"20151006",1
1510,"20151007",1
1510,"20151008",0
1510,"20151009",1
1510,"20151010",1
1510,"20151011",1
1510,"20151012",1
1510,"20151013",0
1510,"20151014",1
1510,"20151015",1
1510,"20151016",1
1510,"20151017",1
1510,"20151018",0
1510,"20151019",1
1510,"20151020",1
1510,"20151021",1
1510,"20151022",1
1510,"20151023",0
1510,"20151024",1
1510,"20151025",1
1510,"20151026",1
1510,"20151027",1
1510,"20151028",0
1510,"20151029",1
1512,"20150901",1
1512,"20150902",1
1512,"20150903",0
1512,"20150904",1
1512,"20150905",1
1512,"20150906",0
1512,"20150907",1
1512,"20150908",0
1512,"20150909",0
1512,"20150911",0
1512,"20150912",0
1512,"20150913",0
1512,"20150914",0
1512,"20150915",0
1512,"20150916",0
1512,"20150917",0
1512,"20150918",0
1512,"20150919",0
1512,"20150920",0
1512,"20150921",0
1512,"20150922",0
1512,"20150923",0
1512,"20150924",0
1512,"20150925",0
1512,"20150926",0
1512,"20150927",0
1512,"20150928",0
1512,"20150929",0
1512,"20150930",0
1512,"20151001",0
1512,"20151002",0
1512,"20151003",0
1512,"20151004",0
1512,"20151005",0
1512,"20151006",0
1512,"20151007",0
1512,"20151008",0
1512,"20151009",0
1512,"20151010",0
1512,"20151011",0
1512,"20151012",0
1512,"20151013",0
1512,"20151014",0
1512,"20151015",0
1512,"20151016",0
1512,"20151017",0
1512,"20151018",0
1512,"20151019",0
1512,"20151020",0
1512,"20151021",0
1512,"20151022",0
1512,"20151023",0
1512,"20151024",0
1512,"20151025",0
1512,"20151026",0
1512,"20151027",0
1512,"20151028",0
1512,"20151029",0
1513,"20150901",0
1513,"20150902",0
1513,"20150903",0
1513,"20150904",0
1513,"20150905",0
1513,"20150906",0
1513,"20150907",0
1513,"20150908",0
1513,"20150909",0
1513,"20150911",0
1513,"20150912",0
1513,"20150913",0
1513,"20150914",0
1513,"20150915",0
1513,"20150916",0
1513,"20150917",0
1513,"20150918",0
1513,"20150919",0
1513,"20150920",0
1513,"20150921",0
1513,"20150922",0
1513,"20150923",0
1513,"20150924",0
1513,"20150925",0
1513,"20150926",0
1513,"20150927",0
1513,"20150928",0
1513,"20150929",0
1513,"20150930",0
1513,"20151001",0
1513,"20151002",0
1513,"20151003",0
1513,"20151004",0
1513,"20151005",0
1513,"20151006",0
1513,"20151007",0
1513,"20151008",0
1513,"20151009",0
1513,"20151010",0
1513,"20151011",0
1513,"20151012",0
1513,"20151013",0
1513,"20151014",0
1513,"20151015",0
1513,"20151016",0
1513,"20151017",0
1513,"20151018",0
1513,"20151019",0
1513,"20151020",0
1513,"20151021",0
1513,"20151022",0
1513,"20151023",0
1513,"20151024",0
1513,"20151025",0
1513,"20151026",0
1513,"20151027",0
1513,"20151028",0
1513,"20151029",0
1516,"20150901",1
1516,"20150902",0
1516,"20150903",0
1516,"20150904",0
1516,"20150905",1
1516,"20150906",1
1516,"20150907",0
1516,"20150908",0
1516,"20150909",0
1516,"20150911",1
1516,"20150912",0
1516,"20150913",0
1516,"20150914",0
1516,"20150915",1
1516,"20150916",1
1516,"20150917",0
1516,"20150918",0
1516,"20150919",0
1516,"20150920",1
1516,"20150921",1
1516,"20150922",0
1516,"20150923",0
1516,"20150924",0
1516,"20150925",1
1516,"20150926",1
1516,"20150927",0
1516,"20150928",0
1516,"20150929",0
1516,"20150930",1
1516,"20151001",1
1516,"20151002",0
1516,"20151003",0
1516,"20151004",0
1516,"20151005",1
1516,"20151006",1
1516,"20151007",0
1516,"20151008",0
1516,"20151009",0
1516,"20151010",1
1516,"20151011",1
1516,"20151012",0
1516,"20151013",0
1516,"20151014",0
1516,"20151015",1
1516,"20151016",1
1516,"20151017",0
1516,"20151018",0
1516,"20151019",0
1516,"20151020",1
1516,"20151021",1
1516,"20151022",0
1516,"20151023",0
1516,"20151024",0
1516,"20151025",1
1516,"20151026",1
1516,"20151027",0
1516,"20151028",0
1516,"20151029",0
1517,"20150901",1
1517,"20150902",1
1517,"20150903",1
1517,"20150904",1
1517,"20150905",1
1517,"20150906",1
1517,"20150907",1
1517,"20150908",1
1517,"20150909",1
1517,"20150911",1
1517,"20150912",1
1517,"20150913",1
1517,"20150914",1
1517,"20150915",1
1517,"20150916",1
1517,"20150917",1
1517,"20150918",1
1517,"20150919",1
1517,"20150920",1
1517,"20150921",1
1517,"20150922",1
1517,"20150923",1
1517,"20150924",1
1517,"20150925",1
1517,"20150926",1
1517,"20150927",1
1517,"20150928",1
1517,"20150929",1
1517,"20150930",1
1517,"20151001",1
1517,"20151002",1
1517,"20151003",1
1517,"20151004",1
1517,"20151005",1
1517,"20151006",1
1517,"20151007",1
1517,"20151008",1
1517,"20151009",1
1517,"20151010",1
1517,"20151011",1
1517,"20151012",1
1517,"20151013",1
1517,"20151014",1
1517,"20151015",1
1517,"20151016",1
1517,"20151017",1
1517,"20151018",1
1517,"20151019",1
1517,"20151020",1
1517,"20151021",1
1517,"20151022",1
1517,"20151023",1
1517,"20151024",1
1517,"20151025",1
1517,"20151026",1
1517,"20151027",1
1517,"20151028",1
1517,"20151029",1
1518,"20150901",1
1518,"20150902",1
1518,"20150903",1
1518,"20150904",1
1518,"20150905",1
1518,"20150906",1
1518,"20150907",1
1518,"20150908",1
1518,"20150909",1
1518,"20150911",1
1518,"20150912",1
1518,"20150913",1
1518,"20150914",1
1518,"20150915",1
1518,"20150916",1
1518,"20150917",1
1518,"20150918",1
1518,"20150919",1
1518,"20150920",1
1518,"20150921",1
1518,"20150922",1
1518,"20150923",1
1518,"20150924",1
1518,"20150925",1
1518,"20150926",1
1518,"20150927",1
1518,"20150928",1
1518,"20150929",1
1518,"20150930",1
1518,"20151001",1
1518,"20151002",1
1518,"20151003",1
1518,"20151004",1
1518,"20151005",1
1518,"20151006",1
1518,"20151007",1
1518,"20151008",1
1518,"20151009",1
1518,"20151010",1
1518,"20151011",1
1518,"20151012",1
1518,"20151013",1
1518,"20151014",1
1518,"20151015",1
1518,"20151016",1
1518,"20151017",1
1518,"20151018",1
1518,"20151019",1
1518,"20151020",1
1518,"20151021",1
1518,"20151022",1
1518,"20151023",1
1518,"20151024",1
1518,"20151025",1
1518,"20151026",1
1518,"20151027",1
1518,"20151028",1
1518,"20151029",1
1519,"20150901",1
1519,"20150902",1
1519,"20150903",1
1519,"20150904",1
1519,"20150905",1
1519,"20150906",1
1519,"20150907",1
1519,"20150908",1
1519,"20150909",1
1519,"20150911",1
1519,"20150912",1
1519,"20150913",1
1519,"20150914",1
1519,"20150915",1
1519,"20150916",1
1519,"20150917",1
1519,"20150918",1
1519,"20150919",1
1519,"20150920",1
1519,"20150921",1
1519,"20150922",1
1519,"20150923",1
1519,"20150924",1
1519,"20150925",1
1519,"20150926",1
1519,"20150927",1
1519,"20150928",1
1519,"20150929",1
1519,"20150930",1
1519,"20151001",1
1519,"20151002",1
1519,"20151003",1
1519,"20151004",1
1519,"20151005",1
1519,"20151006",1
1519,"20151007",1
1519,"20151008",1
1519,"20151009",1
1519,"20151010",1
1519,"20151011",1
1519,"20151012",1
1519,"20151013",1
1519,"20151014",1
1519,"20151015",1
1519,"20151016",1
1519,"20151017",1
1519,"20151018",1
1519,"20151019",1
1519,"20151020",1
1519,"20151021",1
1519,"20151022",1
1519,"20151023",1
1519,"20151024",1
1519,"20151025",1
1519,"20151026",1
1519,"20151027",1
1519,"20151028",1
1519,"20151029",1
1520,"20150901",0
1520,"20150902",0
1520,"20150903",0
1520,"20150904",0
